mktrf,dateff
0.014000,2007-01-31
-0.019600,2007-02-28
0.006800,2007-03-30
0.034900,2007-04-30
0.032400,2007-05-31
-0.019600,2007-06-29
-0.037300,2007-07-31
0.009200,2007-08-31
0.032200,2007-09-28
0.018000,2007-10-31
-0.048300,2007-11-30
-0.008700,2007-12-31
-0.063600,2008-01-31
-0.030900,2008-02-29
-0.009300,2008-03-31
0.046000,2008-04-30
0.018600,2008-05-30
-0.084400,2008-06-30
-0.007700,2008-07-31
0.015300,2008-08-29
-0.092400,2008-09-30
-0.172300,2008-10-31
-0.078600,2008-11-28
0.017400,2008-12-31
-0.081200,2009-01-30
-0.101000,2009-02-27
0.089500,2009-03-31
0.101800,2009-04-30
0.052100,2009-05-29
0.004300,2009-06-30
0.077200,2009-07-31
0.033300,2009-08-31
0.040800,2009-09-30
-0.025900,2009-10-30
0.055600,2009-11-30
0.027500,2009-12-31
-0.033600,2010-01-29
0.034000,2010-02-26
0.063100,2010-03-31
0.020000,2010-04-30
-0.078900,2010-05-28
-0.055700,2010-06-30
0.069300,2010-07-30
-0.047700,2010-08-31
0.095400,2010-09-30
0.038800,2010-10-29
0.006000,2010-11-30
0.068200,2010-12-31
0.019900,2011-01-31
0.034900,2011-02-28
0.004600,2011-03-31
0.029000,2011-04-29
-0.012700,2011-05-31
-0.017500,2011-06-30
-0.023500,2011-07-29
-0.059900,2011-08-31
-0.075900,2011-09-30
0.113500,2011-10-31
-0.002800,2011-11-30
0.007400,2011-12-30
0.050500,2012-01-31
0.044200,2012-02-29
0.031100,2012-03-30
-0.008500,2012-04-30
-0.061900,2012-05-31
0.038900,2012-06-29
0.007900,2012-07-31
0.025500,2012-08-31
0.027300,2012-09-28
-0.017600,2012-10-31
0.007800,2012-11-30
0.011800,2012-12-31
0.055700,2013-01-31
0.012900,2013-02-28
0.040300,2013-03-28
0.015500,2013-04-30
0.028000,2013-05-31
-0.012000,2013-06-28
0.056500,2013-07-31
-0.027100,2013-08-30
0.037700,2013-09-30
0.041800,2013-10-31
0.031300,2013-11-29
0.028100,2013-12-31
-0.033200,2014-01-31
0.046500,2014-02-28
0.004300,2014-03-31
-0.001900,2014-04-30
0.020600,2014-05-30
0.026100,2014-06-30
-0.020400,2014-07-31
0.042400,2014-08-29
-0.019700,2014-09-30
0.025200,2014-10-31
0.025500,2014-11-28
-0.000600,2014-12-31
-0.031100,2015-01-30
0.061300,2015-02-27
-0.011200,2015-03-31
0.005900,2015-04-30
0.013600,2015-05-29
-0.015300,2015-06-30
0.015400,2015-07-31
-0.060400,2015-08-31
-0.030700,2015-09-30
0.077500,2015-10-30
0.005600,2015-11-30
-0.021700,2015-12-31
-0.057700,2016-01-29
-0.000700,2016-02-29
0.069600,2016-03-31
0.009100,2016-04-29
0.017800,2016-05-31
-0.000500,2016-06-30
0.039500,2016-07-29
0.004900,2016-08-31
0.002500,2016-09-30
-0.020200,2016-10-31
0.048600,2016-11-30
0.018100,2016-12-30
